event_id,user_id,title_id,platform_id,event_type,event_ts,scene_id,duration_seconds,sentiment_score
59,123,1,2,COMMENT,2023-01-19 00:59:00,,,-0.38
60,122,2,4,HIGHLIGHT,2023-01-19 22:53:00,21.0,,
61,123,2,1,SCENE_VIEW,2023-01-12 17:27:00,22.0,,
62,117,3,3,READ,2023-04-27 15:06:00,,473.0,
63,121,2,2,SHARE,2023-02-24 16:41:00,,306.0,
64,115,2,3,COMMENT,2023-02-27 02:17:00,,,0.76
65,108,2,4,COMMENT,2023-01-16 10:11:00,,,-0.02
66,112,2,3,COMMENT,2023-05-23 08:35:00,,,-0.98
67,107,1,2,SHARE,2023-04-18 07:44:00,,517.0,
68,115,1,1,COMMENT,2023-02-13 22:15:00,,,-0.39
69,119,2,4,SCENE_VIEW,2023-05-12 13:47:00,18.0,368.0,
70,123,2,3,COMMENT,2023-03-08 03:46:00,,,-0.61
71,104,3,2,HIGHLIGHT,2023-02-24 15:17:00,24.0,567.0,
72,104,1,3,HIGHLIGHT,2023-03-06 09:00:00,23.0,,
73,109,1,1,SCENE_VIEW,2023-03-23 04:40:00,28.0,,
74,128,1,3,SHARE,2023-04-15 10:11:00,,82.0,
75,128,2,1,READ,2023-04-16 02:36:00,,,
76,105,3,3,READ,2023-02-04 17:48:00,,,
77,125,3,4,SHARE,2023-04-10 18:27:00,,,
78,120,3,1,HIGHLIGHT,2023-06-07 08:42:00,3.0,,
79,106,3,1,HIGHLIGHT,2023-01-14 14:44:00,20.0,511.0,
80,102,1,3,COMMENT,2023-06-28 14:04:00,,,0.37
81,130,2,2,SHARE,2023-01-18 07:41:00,,182.0,
82,127,1,1,READ,2023-02-26 09:38:00,,325.0,
83,104,2,3,SHARE,2023-03-17 17:31:00,,,
84,120,1,4,COMMENT,2023-05-09 00:05:00,,,-0.54
85,122,3,1,COMMENT,2023-05-02 05:30:00,,,0.04
86,115,2,2,SCENE_VIEW,2023-04-21 15:05:00,16.0,386.0,
87,111,2,1,HIGHLIGHT,2023-03-14 22:31:00,10.0,,
88,115,1,3,COMMENT,2023-03-04 12:55:00,,,0.03
89,101,3,4,SHARE,2023-01-07 16:23:00,,540.0,
90,125,1,2,COMMENT,2023-05-05 09:28:00,,,0.76
91,116,1,1,SCENE_VIEW,2023-02-23 05:19:00,18.0,44.0,
92,103,1,1,SHARE,2023-01-21 04:31:00,,328.0,
93,114,2,4,HIGHLIGHT,2023-04-18 04:24:00,7.0,,
94,128,1,3,SHARE,2023-03-26 16:17:00,,32.0,
95,124,2,4,HIGHLIGHT,2023-04-18 15:22:00,11.0,595.0,
96,115,2,2,HIGHLIGHT,2023-05-13 07:54:00,25.0,,
97,111,3,4,SHARE,2023-04-22 20:09:00,,,
98,105,3,3,READ,2023-04-04 16:58:00,,,
99,124,1,4,HIGHLIGHT,2023-01-16 08:21:00,20.0,,
100,128,2,4,COMMENT,2023-06-23 15:55:00,,,0.08
101,120,1,2,COMMENT,2023-02-24 02:27:00,,,0.96
102,125,3,1,SHARE,2023-02-23 09:57:00,,,
103,111,1,3,COMMENT,2023-03-14 04:15:00,,,0.06
104,119,3,2,HIGHLIGHT,2023-02-03 19:55:00,13.0,276.0,
105,130,3,2,HIGHLIGHT,2023-04-21 08:29:00,9.0,39.0,
106,129,2,2,READ,2023-04-12 18:19:00,,464.0,
107,115,2,2,SHARE,2023-04-04 07:24:00,,397.0,
108,123,2,1,SHARE,2023-03-01 18:55:00,,80.0,
109,127,2,2,SCENE_VIEW,2023-03-08 20:12:00,20.0,,
110,121,1,1,COMMENT,2023-04-02 18:23:00,,,0.46
111,103,2,3,SHARE,2023-02-07 04:50:00,,582.0,
112,117,3,3,HIGHLIGHT,2023-03-27 15:51:00,10.0,,
113,115,1,2,HIGHLIGHT,2023-06-24 21:25:00,28.0,600.0,
114,103,2,1,COMMENT,2023-05-04 14:23:00,,,0.35
115,122,2,4,COMMENT,2023-01-22 07:30:00,,,-0.95
116,129,3,3,SCENE_VIEW,2023-02-21 02:40:00,27.0,505.0,
117,121,2,1,HIGHLIGHT,2023-01-02 09:31:00,4.0,,
118,129,3,2,SHARE,2023-04-12 21:47:00,,583.0,
119,119,3,2,SHARE,2023-06-04 15:39:00,,447.0,
120,102,3,3,HIGHLIGHT,2023-04-15 07:54:00,12.0,131.0,
121,118,3,3,READ,2023-04-09 06:07:00,,,
122,122,1,1,READ,2023-03-08 04:50:00,,,
123,127,3,2,SCENE_VIEW,2023-02-27 07:21:00,25.0,,
124,109,1,2,SCENE_VIEW,2023-03-26 05:07:00,22.0,,
125,101,2,2,SCENE_VIEW,2023-03-01 05:16:00,2.0,159.0,
126,117,1,1,SHARE,2023-04-25 11:32:00,,141.0,
127,117,1,1,SCENE_VIEW,2023-03-15 20:01:00,2.0,520.0,
128,114,3,1,SHARE,2023-06-15 02:57:00,,112.0,
129,120,1,1,HIGHLIGHT,2023-03-20 20:37:00,18.0,362.0,
130,120,3,3,SHARE,2023-05-20 13:06:00,,,
131,114,2,2,SHARE,2023-03-27 14:25:00,,,
132,111,2,3,COMMENT,2023-03-05 21:59:00,,,-0.05
133,103,1,1,SHARE,2023-01-24 23:23:00,,,
134,119,3,3,READ,2023-04-12 21:48:00,,,
135,110,3,3,COMMENT,2023-01-19 16:13:00,,,-0.69
136,116,1,1,COMMENT,2023-05-12 03:48:00,,,-0.44
137,108,2,1,SCENE_VIEW,2023-06-27 22:17:00,1.0,214.0,
138,123,2,3,COMMENT,2023-01-06 04:36:00,,,0.31
139,103,1,1,READ,2023-06-17 06:24:00,,459.0,
140,111,1,3,COMMENT,2023-06-11 18:38:00,,,-0.83
141,102,1,2,SCENE_VIEW,2023-01-22 02:17:00,15.0,464.0,
142,120,2,4,COMMENT,2023-02-25 16:07:00,,,-0.31
143,104,2,4,SCENE_VIEW,2023-06-10 01:14:00,13.0,,
144,107,2,2,HIGHLIGHT,2023-03-10 10:07:00,1.0,539.0,
145,106,1,4,SCENE_VIEW,2023-06-08 16:35:00,27.0,,
146,113,3,1,SHARE,2023-01-15 02:55:00,,350.0,
147,119,2,4,COMMENT,2023-01-13 00:20:00,,,-0.66
148,120,2,3,READ,2023-04-28 03:15:00,,476.0,
149,117,1,4,COMMENT,2023-06-11 07:21:00,,,0.56
150,103,3,1,SCENE_VIEW,2023-05-07 11:22:00,24.0,,
151,104,1,3,HIGHLIGHT,2023-02-20 04:48:00,25.0,,
152,125,3,4,SHARE,2023-05-25 18:28:00,,360.0,
153,105,2,1,SHARE,2023-04-21 09:50:00,,,
154,112,3,1,COMMENT,2023-04-15 01:03:00,,,-0.26
155,110,1,1,SCENE_VIEW,2023-05-17 12:29:00,19.0,,
156,115,3,2,COMMENT,2023-05-16 16:09:00,,,0.92
157,115,1,3,READ,2023-05-21 05:02:00,,283.0,
158,115,3,2,COMMENT,2023-03-10 12:26:00,,,0.55
159,122,3,1,COMMENT,2023-01-11 03:35:00,,,0.36
160,110,2,2,COMMENT,2023-01-19 21:09:00,,,0.83
161,110,3,4,HIGHLIGHT,2023-05-23 02:19:00,18.0,415.0,
162,127,1,1,SHARE,2023-05-12 00:23:00,,,
163,107,2,4,HIGHLIGHT,2023-02-05 04:04:00,10.0,,
164,122,2,2,SCENE_VIEW,2023-04-05 05:11:00,27.0,199.0,
165,102,2,3,HIGHLIGHT,2023-04-20 09:48:00,24.0,,
166,118,1,3,SHARE,2023-02-12 21:36:00,,481.0,
167,125,2,4,SCENE_VIEW,2023-05-14 05:52:00,7.0,171.0,
168,102,3,4,COMMENT,2023-05-04 22:54:00,,,0.03
169,104,2,1,HIGHLIGHT,2023-03-15 16:09:00,27.0,,
170,130,1,4,COMMENT,2023-01-14 01:25:00,,,0.0
171,108,2,1,COMMENT,2023-02-01 10:59:00,,,-0.8
172,123,3,3,HIGHLIGHT,2023-02-02 09:58:00,27.0,,
173,125,3,4,SHARE,2023-05-01 02:01:00,,,
174,127,1,4,READ,2023-03-08 09:07:00,,,
175,114,3,4,READ,2023-01-27 15:38:00,,,
176,121,3,2,HIGHLIGHT,2023-03-14 00:39:00,12.0,276.0,
177,106,3,1,SCENE_VIEW,2023-03-03 16:34:00,17.0,,
178,113,2,1,SHARE,2023-03-09 23:01:00,,,
179,112,1,1,SCENE_VIEW,2023-06-25 10:08:00,2.0,390.0,
180,127,3,2,SHARE,2023-06-16 20:11:00,,,
181,123,2,1,COMMENT,2023-02-02 06:56:00,,,-0.92
182,130,2,4,SCENE_VIEW,2023-04-09 01:48:00,21.0,225.0,
183,112,1,3,COMMENT,2023-01-26 11:27:00,,,0.78
184,124,2,4,COMMENT,2023-02-16 22:31:00,,,-0.27
185,126,3,3,READ,2023-06-14 02:27:00,,214.0,
186,111,1,1,COMMENT,2023-06-10 09:28:00,,,0.21
187,114,1,4,COMMENT,2023-04-02 23:55:00,,,0.82
188,120,2,3,READ,2023-01-22 20:25:00,,,
189,101,1,4,READ,2023-02-03 07:49:00,,405.0,
190,113,3,1,SCENE_VIEW,2023-02-22 14:23:00,12.0,,
191,119,1,3,SHARE,2023-03-21 08:15:00,,,
192,124,1,4,SCENE_VIEW,2023-04-18 03:16:00,25.0,296.0,
193,107,3,3,SHARE,2023-02-04 04:54:00,,105.0,
194,106,3,4,READ,2023-06-28 10:42:00,,,
195,118,3,3,COMMENT,2023-02-23 22:59:00,,,0.4
196,106,2,2,READ,2023-02-26 04:15:00,,,
197,112,3,3,SHARE,2023-05-05 19:56:00,,,
198,110,2,4,SCENE_VIEW,2023-04-25 13:52:00,19.0,,
199,111,3,1,SHARE,2023-04-22 16:22:00,,,
200,125,1,4,SCENE_VIEW,2023-01-27 03:33:00,5.0,,
201,106,2,2,COMMENT,2023-05-10 02:16:00,,,-0.61
202,118,2,2,COMMENT,2023-05-18 02:32:00,,,0.28
203,119,3,2,HIGHLIGHT,2023-06-20 23:57:00,20.0,,
204,127,1,1,READ,2023-06-25 18:16:00,,245.0,
205,120,3,1,SHARE,2023-06-18 09:41:00,,339.0,
206,108,3,4,COMMENT,2023-04-03 22:03:00,,,-0.68
207,114,2,4,HIGHLIGHT,2023-03-20 04:20:00,28.0,356.0,
208,113,1,3,SCENE_VIEW,2023-05-04 10:15:00,15.0,155.0,
209,115,1,2,READ,2023-01-10 12:55:00,,,
210,128,1,3,SCENE_VIEW,2023-06-11 06:48:00,6.0,540.0,
211,116,2,4,READ,2023-01-13 16:29:00,,,
212,119,2,1,READ,2023-03-16 19:56:00,,511.0,
213,118,1,1,SHARE,2023-02-09 23:23:00,,442.0,
214,102,2,1,SCENE_VIEW,2023-05-07 11:35:00,10.0,105.0,
215,117,2,3,SCENE_VIEW,2023-06-20 03:08:00,4.0,433.0,
216,126,2,3,HIGHLIGHT,2023-02-20 16:25:00,17.0,,
217,102,1,3,SHARE,2023-05-15 04:38:00,,,
218,111,3,3,HIGHLIGHT,2023-04-20 23:53:00,10.0,374.0,
219,123,3,3,SHARE,2023-01-12 10:43:00,,142.0,
220,119,2,1,SCENE_VIEW,2023-04-09 20:50:00,25.0,,
221,119,2,2,SCENE_VIEW,2023-06-24 19:49:00,27.0,,
222,127,3,2,READ,2023-05-23 03:12:00,,49.0,
223,111,2,2,SHARE,2023-06-07 13:32:00,,,
224,123,1,2,SCENE_VIEW,2023-03-22 15:33:00,13.0,,
225,115,3,3,SCENE_VIEW,2023-03-22 23:43:00,21.0,300.0,
226,107,1,3,SCENE_VIEW,2023-03-08 09:49:00,10.0,242.0,
227,111,2,3,SCENE_VIEW,2023-06-09 09:07:00,19.0,586.0,
228,129,2,3,HIGHLIGHT,2023-03-02 09:45:00,3.0,384.0,
229,121,2,4,HIGHLIGHT,2023-02-27 17:17:00,30.0,,
230,104,3,2,HIGHLIGHT,2023-01-22 16:14:00,21.0,,
231,104,2,3,SHARE,2023-01-22 04:00:00,,,
232,114,3,4,SHARE,2023-06-07 09:20:00,,,
233,130,1,2,SCENE_VIEW,2023-06-24 01:58:00,30.0,209.0,
234,129,1,1,SHARE,2023-04-06 23:55:00,,,
235,101,2,1,COMMENT,2023-03-15 20:34:00,,,0.05
236,129,1,4,COMMENT,2023-02-26 03:21:00,,,-0.68
237,115,3,3,HIGHLIGHT,2023-01-24 10:50:00,10.0,,
238,120,3,4,SHARE,2023-05-11 02:25:00,,,
239,105,2,3,HIGHLIGHT,2023-01-09 12:15:00,15.0,303.0,
240,110,3,1,COMMENT,2023-06-12 22:15:00,,,-0.88
241,104,2,3,HIGHLIGHT,2023-04-22 16:59:00,29.0,,
242,121,2,3,SCENE_VIEW,2023-02-08 04:30:00,5.0,495.0,
243,114,3,4,SCENE_VIEW,2023-06-27 06:48:00,8.0,113.0,
244,117,3,3,READ,2023-05-04 01:53:00,,,
245,119,3,2,HIGHLIGHT,2023-03-28 16:28:00,4.0,240.0,
246,103,3,4,READ,2023-04-05 16:26:00,,,
247,118,2,3,READ,2023-04-09 00:47:00,,,
248,102,2,3,READ,2023-05-02 02:59:00,,,
249,110,2,2,HIGHLIGHT,2023-06-24 20:26:00,12.0,421.0,
250,128,2,4,READ,2023-06-22 17:08:00,,,
251,106,3,4,SCENE_VIEW,2023-02-24 07:53:00,1.0,53.0,
252,115,3,4,SCENE_VIEW,2023-04-27 07:15:00,15.0,,
253,109,1,1,READ,2023-06-14 19:49:00,,,
254,107,1,1,SCENE_VIEW,2023-01-15 19:43:00,23.0,,
255,124,1,4,SHARE,2023-02-18 06:48:00,,,
256,117,2,2,SCENE_VIEW,2023-03-19 19:49:00,22.0,,
257,110,1,2,SHARE,2023-03-09 01:35:00,,209.0,
258,118,2,1,COMMENT,2023-06-22 12:50:00,,,0.05
259,123,2,4,HIGHLIGHT,2023-03-13 05:48:00,18.0,,
260,128,1,3,HIGHLIGHT,2023-04-02 17:26:00,14.0,,
261,113,1,3,HIGHLIGHT,2023-03-21 02:59:00,15.0,,
262,118,3,2,READ,2023-03-13 21:38:00,,,
263,107,3,2,SHARE,2023-02-28 10:19:00,,,
264,130,1,1,SHARE,2023-02-23 19:45:00,,239.0,
265,130,1,3,COMMENT,2023-04-15 17:41:00,,,-0.28
266,109,2,4,SHARE,2023-01-26 23:30:00,,,
267,112,2,4,READ,2023-05-28 07:47:00,,,
268,109,3,4,COMMENT,2023-02-07 10:14:00,,,-0.24
269,127,1,4,SCENE_VIEW,2023-06-22 10:16:00,25.0,530.0,
270,115,1,3,HIGHLIGHT,2023-02-24 17:31:00,6.0,,
271,117,1,1,READ,2023-01-14 04:53:00,,,
272,123,1,1,HIGHLIGHT,2023-05-15 11:03:00,20.0,524.0,
273,101,1,4,READ,2023-01-17 23:17:00,,578.0,
274,101,3,4,HIGHLIGHT,2023-01-04 16:09:00,8.0,226.0,
275,127,2,3,SHARE,2023-01-12 12:29:00,,,
276,110,3,1,READ,2023-01-13 12:24:00,,595.0,
277,102,3,1,HIGHLIGHT,2023-01-16 13:41:00,26.0,,
278,129,3,1,HIGHLIGHT,2023-02-28 22:56:00,19.0,516.0,
279,102,1,3,SCENE_VIEW,2023-05-22 01:11:00,30.0,,
280,107,3,2,SHARE,2023-01-10 05:36:00,,276.0,
281,122,3,3,SHARE,2023-06-05 22:46:00,,110.0,
282,102,1,4,HIGHLIGHT,2023-01-11 19:49:00,20.0,436.0,
283,101,3,3,SHARE,2023-04-08 11:35:00,,414.0,
284,106,3,4,READ,2023-05-10 07:45:00,,,
285,109,1,4,HIGHLIGHT,2023-06-13 10:23:00,4.0,,
286,110,2,3,COMMENT,2023-01-05 02:11:00,,,-0.14
287,118,3,4,READ,2023-01-03 11:35:00,,125.0,
288,128,2,1,COMMENT,2023-04-13 02:46:00,,,0.8
289,129,1,2,SHARE,2023-02-05 08:19:00,,304.0,
290,105,1,2,SHARE,2023-03-14 09:30:00,,108.0,
291,109,1,4,SCENE_VIEW,2023-05-07 14:06:00,5.0,,
292,113,2,4,COMMENT,2023-04-11 13:52:00,,,0.65
293,121,3,2,COMMENT,2023-03-20 22:12:00,,,-0.04
294,106,2,3,COMMENT,2023-06-23 20:31:00,,,0.94
295,126,1,3,SHARE,2023-03-27 12:23:00,,,
296,119,3,2,SCENE_VIEW,2023-01-24 14:45:00,7.0,478.0,
297,127,3,1,SHARE,2023-06-16 04:40:00,,,
298,109,3,2,SHARE,2023-04-03 14:38:00,,520.0,
299,118,3,4,SCENE_VIEW,2023-01-26 11:44:00,29.0,,
300,104,1,3,HIGHLIGHT,2023-06-20 01:36:00,21.0,439.0,
301,126,2,1,READ,2023-01-09 07:32:00,,,
302,115,2,4,SHARE,2023-06-19 22:32:00,,184.0,
303,101,2,1,COMMENT,2023-04-03 03:53:00,,,0.88
304,105,2,3,COMMENT,2023-04-26 06:33:00,,,-0.03
305,116,1,4,SHARE,2023-03-03 09:02:00,,,
306,128,2,1,HIGHLIGHT,2023-06-08 16:11:00,18.0,193.0,
307,118,2,4,HIGHLIGHT,2023-04-21 05:11:00,21.0,472.0,
308,101,3,2,SHARE,2023-05-14 12:00:00,,,
309,109,3,1,SCENE_VIEW,2023-01-26 17:11:00,12.0,,
310,115,1,3,SHARE,2023-05-21 10:38:00,,427.0,
311,119,1,3,COMMENT,2023-04-20 05:52:00,,,0.35
312,126,2,1,HIGHLIGHT,2023-03-04 07:19:00,4.0,217.0,
313,123,1,4,SHARE,2023-05-05 18:24:00,,,
314,116,3,2,SCENE_VIEW,2023-02-16 09:08:00,6.0,352.0,
315,120,1,3,READ,2023-04-05 06:52:00,,423.0,
316,114,3,4,SHARE,2023-06-27 14:31:00,,,
317,119,1,2,COMMENT,2023-01-09 07:34:00,,,-0.42
318,125,2,4,SCENE_VIEW,2023-05-04 18:07:00,9.0,586.0,
319,118,1,4,SCENE_VIEW,2023-02-14 03:47:00,27.0,283.0,
320,128,1,4,COMMENT,2023-03-28 02:28:00,,,0.73
321,104,1,2,SCENE_VIEW,2023-06-12 22:39:00,21.0,,
322,120,1,2,HIGHLIGHT,2023-01-19 11:34:00,9.0,,
323,111,3,3,COMMENT,2023-05-09 16:57:00,,,0.36
324,104,1,4,READ,2023-03-28 20:08:00,,,
325,105,3,3,HIGHLIGHT,2023-06-13 15:09:00,19.0,305.0,
326,113,2,1,READ,2023-04-17 23:17:00,,407.0,
327,116,2,1,READ,2023-06-15 20:42:00,,,
328,126,3,4,HIGHLIGHT,2023-04-27 06:31:00,9.0,360.0,
329,111,3,2,SCENE_VIEW,2023-04-26 10:57:00,22.0,,
330,104,3,4,READ,2023-01-28 05:28:00,,,
331,114,1,2,COMMENT,2023-02-28 08:05:00,,,0.31
332,109,1,3,HIGHLIGHT,2023-01-13 20:19:00,24.0,269.0,
333,121,1,1,READ,2023-02-16 02:08:00,,261.0,
334,101,1,3,READ,2023-04-23 04:30:00,,,
335,113,1,1,READ,2023-03-12 09:08:00,,,
336,121,3,2,READ,2023-05-19 00:39:00,,198.0,
337,112,3,2,HIGHLIGHT,2023-04-20 21:28:00,28.0,,
338,129,1,2,READ,2023-05-24 12:22:00,,469.0,
339,126,1,2,COMMENT,2023-06-03 07:35:00,,,0.2
340,124,3,3,READ,2023-06-10 06:33:00,,,
341,124,2,3,READ,2023-02-16 12:07:00,,276.0,
342,121,3,1,SCENE_VIEW,2023-01-12 10:08:00,13.0,460.0,
343,118,3,2,SHARE,2023-01-01 18:04:00,,44.0,
344,107,1,1,SHARE,2023-05-10 20:45:00,,543.0,
345,114,3,4,READ,2023-06-18 17:39:00,,186.0,
346,103,2,1,SCENE_VIEW,2023-02-26 04:34:00,11.0,,
347,110,3,4,HIGHLIGHT,2023-01-08 02:59:00,14.0,148.0,
348,120,3,1,COMMENT,2023-06-24 21:47:00,,,-0.65
349,101,3,2,READ,2023-02-16 11:33:00,,559.0,
350,106,2,2,COMMENT,2023-06-04 00:21:00,,,0.61
351,109,3,1,COMMENT,2023-06-19 20:04:00,,,-0.01
352,117,2,1,SHARE,2023-05-06 11:10:00,,,
353,129,3,1,HIGHLIGHT,2023-06-17 00:02:00,28.0,,
354,102,2,3,SHARE,2023-02-06 01:35:00,,,
355,111,1,4,COMMENT,2023-03-27 02:36:00,,,-0.25
356,117,3,1,HIGHLIGHT,2023-02-26 16:02:00,13.0,100.0,
357,128,2,3,COMMENT,2023-01-18 14:00:00,,,-0.26
358,110,3,3,SCENE_VIEW,2023-02-15 11:37:00,16.0,,
359,105,1,4,READ,2023-02-18 11:40:00,,39.0,
360,101,3,4,COMMENT,2023-01-07 16:15:00,,,-0.16
361,102,1,3,READ,2023-01-08 16:26:00,,411.0,
362,124,1,1,SCENE_VIEW,2023-02-21 12:04:00,19.0,93.0,
363,122,1,2,COMMENT,2023-03-28 10:59:00,,,0.6
364,123,3,3,COMMENT,2023-04-09 07:04:00,,,0.89
365,105,3,1,HIGHLIGHT,2023-01-06 14:29:00,11.0,,
366,118,2,2,SHARE,2023-03-15 08:54:00,,,
367,106,3,3,SCENE_VIEW,2023-01-07 10:09:00,3.0,284.0,
368,113,3,1,COMMENT,2023-03-27 05:01:00,,,0.9
369,128,2,2,READ,2023-04-04 04:07:00,,,
370,127,1,2,HIGHLIGHT,2023-04-12 21:40:00,21.0,116.0,
371,130,1,1,READ,2023-02-21 14:51:00,,,
372,129,2,1,READ,2023-04-02 05:59:00,,473.0,
373,116,1,4,SHARE,2023-02-12 06:58:00,,221.0,
374,109,2,2,READ,2023-05-20 19:15:00,,332.0,
375,114,3,4,READ,2023-01-09 12:08:00,,,
376,121,3,2,SCENE_VIEW,2023-01-13 22:22:00,16.0,587.0,
377,112,3,3,SHARE,2023-03-06 00:20:00,,,
378,129,2,1,SHARE,2023-05-12 18:14:00,,,
379,108,3,2,COMMENT,2023-05-27 23:03:00,,,0.53
380,108,3,4,COMMENT,2023-02-06 07:37:00,,,-0.36
381,124,3,3,SCENE_VIEW,2023-01-23 22:22:00,19.0,,
382,127,2,3,HIGHLIGHT,2023-04-02 02:03:00,8.0,,
383,117,2,1,COMMENT,2023-05-07 04:21:00,,,0.43
384,130,2,1,READ,2023-02-19 22:58:00,,,
385,128,3,3,READ,2023-03-23 21:25:00,,133.0,
386,110,2,2,HIGHLIGHT,2023-06-14 20:31:00,21.0,,
387,123,3,3,HIGHLIGHT,2023-06-19 05:24:00,10.0,,
388,106,3,1,SCENE_VIEW,2023-04-28 18:02:00,6.0,,
389,121,3,1,SHARE,2023-02-11 23:04:00,,273.0,
390,111,1,1,COMMENT,2023-04-01 08:13:00,,,-0.5
391,103,2,3,READ,2023-06-01 01:24:00,,478.0,
392,106,2,4,SHARE,2023-03-18 12:06:00,,,
393,106,2,1,READ,2023-03-01 10:16:00,,,
394,111,1,4,HIGHLIGHT,2023-06-03 17:57:00,3.0,376.0,
395,123,1,4,HIGHLIGHT,2023-05-14 05:03:00,4.0,,
396,107,2,3,COMMENT,2023-03-08 03:03:00,,,-0.21
397,118,2,2,READ,2023-03-01 13:05:00,,331.0,
398,107,1,1,HIGHLIGHT,2023-02-21 09:05:00,16.0,148.0,
399,126,2,4,SHARE,2023-06-09 02:41:00,,587.0,
400,106,2,4,COMMENT,2023-02-15 01:16:00,,,-0.12
401,109,1,3,SCENE_VIEW,2023-01-05 22:42:00,4.0,117.0,
402,126,3,4,SCENE_VIEW,2023-02-18 01:53:00,13.0,565.0,
403,118,3,4,SCENE_VIEW,2023-02-16 09:05:00,13.0,,
404,104,2,2,HIGHLIGHT,2023-02-26 06:08:00,2.0,,
405,122,2,2,HIGHLIGHT,2023-05-09 10:58:00,24.0,,
406,113,3,4,SCENE_VIEW,2023-03-28 08:33:00,15.0,42.0,
407,104,2,2,HIGHLIGHT,2023-05-19 18:48:00,4.0,,
408,126,2,3,SHARE,2023-03-13 20:31:00,,,
409,106,2,4,HIGHLIGHT,2023-05-20 21:44:00,13.0,69.0,
