IMF[1][6],World Bank[7],United Nations[8],Forecast,Year,Estimate,Year
Kosovo,"11,274",2025,"11,149",2024,"10,467",2023
New Caledonia,—,"9,623",2022,"10,140",2023,
Togo,"10,023",2025,"9,926",2024,"9,278",2023
Monaco,—,"9,995",2023,"9,995",2023,
Bermuda,—,"8,980",2024,"8,142",2023,
Montenegro,"8,562",2025,"8,070",2024,"7,530",2023
Sierra Leone,"8,386",2025,"7,548",2024,"6,412",2023
Liechtenstein,—,"8,288",2023,"7,965",2023,
Barbados,"7,552",2025,"7,165",2024,"6,721",2023
Maldives,"7,480",2025,"6,975",2024,"6,591",2023
Isle of Man,—,"7,431",2022,—,,
Cayman Islands,—,"7,139",2023,"7,127",2023,
Guam,—,"6,910",2022,—,,
Burundi,"6,745",2025,"2,162",2024,"3,960",2023
French Polynesia,—,"6,402",2023,"6,398",2023,
Fiji,"6,257",2025,"5,841",2024,"5,442",2023
Eswatini,"5,483",2025,"4,892",2024,"4,574",2023
Liberia,"5,166",2025,"4,750",2024,"5,039",2023
U.S. Virgin Islands,—,"4,672",2022,—,,
Djibouti,"4,587",2025,"4,086",2024,"4,000",2023
Suriname,"4,506",2025,"4,714",2024,"3,759",2023
Aruba,"4,100",2025,"3,649",2023,"3,649",2023
Andorra,"4,035",2025,"4,040",2024,"3,785",2023
South Sudan,"3,998",2025,—,"4,629",2023,
Faroe Islands,—,"3,907",2023,—,,
Belize,"3,611",2025,"3,516",2024,"3,079",2023
Bhutan,"3,422",2025,"3,019",2023,"3,019",2023
Greenland,—,"3,327",2023,"3,041",2023,
Curaçao,—,"3,281",2023,"3,281",2023,
Central African Republic,"2,932",2025,"2,752",2024,"2,555",2023
Cape Verde,"2,786",2025,"2,768",2024,"2,591",2023
Gambia,"2,771",2025,"2,508",2024,"2,401",2023
Saint Lucia,"2,632",2025,"2,549",2024,"2,430",2023
Zanzibar,—,—,"2,483",2023,,
Lesotho,"2,404",2025,"2,272",2024,"2,118",2023
Antigua and Barbuda,"2,373",2025,"2,225",2024,"2,033",2023
Eritrea,—,—,"2,275",2023,,
Guinea-Bissau,"2,274",2025,"2,120",2024,"1,841",2023
Seychelles,"2,198",2025,"2,167",2024,"2,141",2023
Timor-Leste,"2,115",2025,"1,881",2024,"2,080",2023
San Marino,"2,047",2025,"1,832",2022,"1,987",2023
Solomon Islands,"1,898",2025,"1,761",2024,"1,633",2023
Turks and Caicos Islands,—,"1,745",2024,"1,402",2023,
Sint Maarten,—,"1,735",2024,"1,677",2023,
Comoros,"1,548",2025,"1,546",2024,"1,448",2023
British Virgin Islands,—,—,"1,506",2023,,
Grenada,"1,464",2025,"1,391",2024,"1,317",2023
Vanuatu,"1,267",2025,"1,161",2024,"1,119",2023
Saint Vincent and the Grenadines,"1,242",2025,"1,157",2024,"1,091",2023
Northern Mariana Islands,—,"1,096",2022,—,,
Samoa,"1,160",2025,"1,068",2024,"1,032",2023
Saint Kitts and Nevis,"1,129",2025,"1,067",2024,"1,058",2023
American Samoa,—,871,2022,—,,
São Tomé and Príncipe,864,2025,764,2024,684,2023
Dominica,742,2025,689,2024,651,2023
Saint Martin,—,649,2021,—,,
Tonga,568,2025,509,2023,508,2023
Micronesia,500,2025,471,2024,460,2023
Anguilla,—,—,416,2023,,
Cook Islands,—,—,366,2023,,
Palau,333,2025,282,2023,282,2023
Kiribati,312,2025,308,2024,289,2023
Marshall Islands,297,2025,280,2024,270,2023
Nauru,169,2025,160,2024,176,2023
Montserrat,—,—,80,2023,,
Tuvalu,65,2025,62,2023,68,2023
